Timestamp;What is your position on systemd?;Have you tried systemd?;Do you feel that systemd is breaking the UNIX philosophy?;Do you feel that systemd is bloated?;Do you feel that systemd is modular?;Do you feel that systemd is monolithic?;Do you feel that systemd is eating up other project?;What do you think about http://0pointer.de/blog/projects/why.html?;Have you been frustrated by bugs in systemd?;Do you feel obligated to use systemd?;Are you afraid systemd will destroy the GNU/Linux ecosystem?;Is systemd stopping you from using some other software?;Are you vocal about systemd?;What is your position on Red Hat?;What is your position on Avahi?;What is your position on PulseAudio?;What is your position on D-Bus?;What is your position on kdbus?;What is your position on Docker?;Do you use containerisation?;Do you use socket activation;Do you use D-Bus activation;Do you use cron?;Do you use at?;Do you encrypt your /?;Do you encrypt any other partition, besides swap?;Do you use swap?;Do you use a graphical boot?;What do you call GNU/Linux?;What is your position on smartphones?;Do you use an FSF endorsed distro?;What is your position on free software versus open source?;Are you a distro developer?;Are you a web developer?;Are you a non-web developer?;Are you a system administrator?;Are you a gamer?;Do you like the Web?;Do you like Gopher?;Do you like new and shiny?;Are you a fan of suckless.org software?;Are you a GNU Hurd fan?;What is the most important about a distro, besides freedom?;What is the second most important about a distro, besides freedom?;What is the least important about a distro, besides freedom?;Do you prefer word processors over text editors?;Do you prefer LaTeX or LibreOffice?;What text editor do you use?;Do you use an integrated development environment?;What type of window manager do you prefer?;What display server do you want to be the future?;Which operating systems do you use?;Which is your perfered operating system?;Which operating systems have you used, including currently used?;How often do you use GNU/Linux at home?;What type of distro do you perfer?;What command line shell do you use?;What is your terminal usage?;Do you use the TTY?;Do you use a login manager?;What kind of computers are you using?;When did you start using GNU, or Linux?;How old are you?;What is the highest education level you have completed?;Was you highest education level degree in computer science?;What education level are you currently engaged in?;Are you currently engaged in getting a degree in computer science?;What gender do you identify as?;Do you watch the Linux Action Show?;Do you watch Linux Unplugged?;Do you watch BSD Now?
11/21/2014 4:35:27;Against;Yes;Yes;Yes;Yes;No;Don't know;I have no opinion;Yes;Yes;No;Yes;No;Neutral;Neither;In favour;Neither;Neither;In favour;Yes;No;No;Yes;No;Yes;Yes;Yes, encrypted;Yes;By the name of the distribution I use;In favour;No, or yes but not because it is free;I'm for open source;No;No;No;Yes;A little;Yes;Yes;Yes;What is that?;No;Performance;Stability;Shiny;No;LibreOffice, or similar;Vi-family;I'm not a developer;Tiling, or dynamic;Wayland;GNU/Linux, *BSD, OS X, Windows or ReactOS;GNU/Linux;GNU/Linux, *BSD, *Solaris, UNIX, OS X, Windows or ReactOS;20–40 %;Advanced;bash;I live in the terminal;No;Yes;Server, Desktop, Laptop, Netbook, Tablet, Other;1992–1995;40–49;College;No;None;No;Male;Sometimes;Sometimes;No
11/21/2014 4:39:03;In favour;Yes;Don't know;No;Yes;No;Yes;Biased;No;No;No;No;No;Neutral;What is that?;In favour;What is that?;What is that?;In favour;No;No;No;Yes;No;No;No;Yes;No;Linux;In favour;No, or yes but not because it is free;I'm for open source;No;No;No;No;Yes;Yes;What is that?;Yes;Some of it;No;Performance;Flexibility;Shiny;No;What is LaTeX?;Other;I'm not a developer;Stacking;Wayland;GNU/Linux, Windows or ReactOS;GNU/Linux;GNU/Linux, GNU but with another kernel than Linux, *BSD, OS X, Windows or ReactOS, Haiku or BeOS, Other UNIX-like, Other;80–100 %;Advanced;zsh;Drop-down terminal;Yes;Yes;Desktop, Netbook, Other;2008–2011;26–29;High school;Yes;None;No;Male;Yes;Sometimes;Sometimes
11/21/2014 4:39:52;In favour;Yes;A bit;No;Don't know;Don't know;Yes, but I do not mind that;I have no opinion;No;No;No;No;No;Neutral;What is that?;In favour;What is that?;What is that?;In favour;No;No;No;Yes;No;Yes;No;No;No;Linux;In favour;No, or yes but not because it is free;I'm for free software;No;No;Yes, front-end (exclusively or preferably);No;No;Yes;What is that?;Neither;What is that?;What is that?;Flexibility;Privacy;Shiny;No;LibreOffice, or similar;Other;Yes;Stacking;Wayland;GNU/Linux;GNU/Linux;GNU/Linux, OS X, Windows or ReactOS, Haiku or BeOS;100 %;Advanced;bash;Drop-down terminal;No;No;Server, Laptop;2008–2011;22–25;High school;Yes;College;Yes;Male;Yes;Yes;No
11/21/2014 4:51:36;Against;Yes;Yes;Yes;No;Yes;Yes;FUD;Yes;No;No;No;No;Neutral;Against;Against;Against;Against;Against;No;No;No;Yes;No;Yes;Yes;Yes, encrypted;No;GNU;Against mobile phones in general;Yes;I'm for free software;Yes;No;Yes, back-end (exclusively or preferably);No;No;No;Yes;No;Yes;Yes;Flexibility;Bleeding edge;Shiny;No;LaTeX, or similar;Emacs-family;No;Tiling, or dynamic;Other;GNU/Linux;GNU/Linux;GNU/Linux, *BSD, *Solaris, Windows or ReactOS, Haiku or BeOS;100 %;Advanced;bash;I live in the terminal;Yes;No;Server, Desktop, Netbook;1996–1999;22–25;High school;Yes;4 years university or university college, or longer;Yes;Male;Sometimes;Yes;Yes
11/21/2014 5:00:40;In favour;Yes;No;No;Yes;No;Yes, but I do not mind that;Legit;No;No;No;No;No;Neutral;In favour;In favour;In favour;In favour;In favour;No;No;No;No;What is that?;No;No;Yes;Yes;GNU/Linux;Against;Yes, but not exclusively;I'm for free software;No;No;No;No;A little;Yes;Yes;Neither;Some of it;No;Stability;Performance;Shiny;No;LaTeX, or similar;Other;I'm not a developer;Stacking;Wayland;GNU/Linux;GNU/Linux;GNU/Linux, OS X, Windows or ReactOS;80–100 %;Beginner's;bash;Occasional;Yes;What is that?;Laptop;2008–2011;30–39;Postgraduate;No;Postgraduate;No;Male;Yes;Yes;No
11/21/2014 5:34:39;In favour;Yes;A bit;Don't know;Don't know;Don't know;Don't know;I have no opinion;No;No;No;No;No;I love them;Neither;In favour;Neither;Neither;Neither;Yes;What is that?;What is that?;Yes;What is that?;Yes;Yes;Yes;No;GNU/Linux;Against;Yes, but not exclusively;I'm for free software;No;Yes, full-stack;Yes, full-stack;Yes;A little;Yes;What is that?;Yes;Some of it;Yes;Flexibility;Security;Other;No;LaTeX, or similar;Other;No;Stacking;Wayland;GNU/Linux;GNU/Linux;GNU/Linux, GNU but with another kernel than Linux, *BSD, OS X, Windows or ReactOS, Other UNIX-like;100 %;Advanced;fish;I live in the terminal;Yes;Yes;Desktop;2008–2011;18–21;High school;No;High school;I have not started or graduated from high school;Neither;Yes;Yes;No
11/21/2014 5:38:53;In favour;Yes;Don't know;No;Yes;Yes;Yes, but I do not mind that;Helpful;No;No;No;No;No;I love them;In favour;In favour;In favour;In favour;Neither;No;Yes;Yes;Yes;No;No;No;Yes;Yes;Linux;Against;No, or yes but not because it is free;I'm for free software;No;No;Yes, full-stack;No;A little;Yes;No;Yes;No, it is stupid;Yes;Bleeding edge;Stability;Shiny;No;LaTeX, or similar;Vi-family;No;Stacking;Wayland;GNU/Linux;GNU/Linux;GNU/Linux, Windows or ReactOS;100 %;Beginner's;fish;I live in the terminal;No;Yes;Laptop;2000–2003;26–29;4 years university or university college, or longer;No;4 years university or university college, or longer;No;Male;Sometimes;Sometimes;No
11/21/2014 5:59:47;In favour;Yes;A bit;No;Don't know;Don't know;Yes, but I do not mind that;I have no opinion;No;No;No;No;No;Neutral;Neither;In favour;In favour;What is that?;In favour;Yes;No;No;Yes;No;No;No;Yes;No;Linux;In favour;Yes, but not exclusively;I'm for open source;No;Yes, full-stack;Yes, full-stack;Yes;Yes;Yes;What is that?;Yes;What is that?;No;Bleeding edge;Performance;Shiny;No;LaTeX, or similar;Vi-family;No;Tiling, or dynamic;Wayland;GNU/Linux, UNIX, Windows or ReactOS;GNU/Linux;GNU/Linux, *BSD, Windows or ReactOS, Other UNIX-like;100 %;Advanced;bash;I live in the terminal;No;Yes;Server, Desktop, Portable, Laptop, Tablet;2004–2007;30–39;Postgraduate;Yes;None;No;Male;Yes;Yes;No
11/21/2014 6:15:11;Neither;Yes;A bit;Don't know;No;No;Yes, but I do not mind that;I have no opinion;Yes;No;No;No;No;I love them;What is that?;Neither;Neither;In favour;In favour;No;No;No;What is that?;What is that?;No;No;Yes;Yes;By the name of the distribution I use;In favour;No, or yes but not because it is free;I'm for open source;No;No;No;No;Yes;Yes;What is that?;Yes;What is that?;What is that?;Performance;Shiny;Stability;Yes;LibreOffice, or similar;Vi-family;Yes;Stacking;Wayland;GNU/Linux;GNU/Linux;GNU/Linux;100 %;;bash;Drop-down terminal;No;Yes;Desktop, Laptop;2008–2011;22–25;High school;Yes;College;No;Male;Yes;Yes;No
11/21/2014 6:15:53;In favour;Yes;No;Don't know;Yes;No;Yes, but I do not mind that;Helpful;No;No;No;No;No;Neutral;Neither;Neither;Neither;Neither;Neither;No;No;No;Yes;What is that?;No;No;Yes;No;Linux;In favour;No, or yes but not because it is free;I'm for open source;Yes;No;Yes, back-end (exclusively or preferably);Yes;A little;Neither;Neither;Yes;Some of it;No;Performance;Bleeding edge;Small;Yes;LibreOffice, or similar;Other;No;Stacking;Wayland;GNU/Linux, *BSD, Windows or ReactOS;GNU/Linux;GNU/Linux, Windows or ReactOS;80–100 %;Advanced;bash;I live in the terminal;Yes;Depends on which computer a use;Server, Laptop, Tablet;2008–2011;22–25;High school;Yes;4 years university or university college, or longer;Yes;Male;Yes;Yes;Sometimes
